activity_id,activity_name,discipline,tag,wbs_path,planned_start,planned_finish
L6-INS-502,Instrument cable pulling and termination,instrumentation,,4.1.2 Instrumentation / Cabling,2026-09-05,2026-09-20
L6-INS-505,Pressure transmitter calibration - Unit 2,instrumentation,PT-509,4.2.1 Instrumentation / Calibration,2026-09-01,2026-09-10
L6-INS-506,Flow meter calibration,instrumentation,FT-301,4.2.2 Instrumentation / Calibration,2026-09-08,2026-09-15
L6-INS-507,Temperature transmitter installation and loop check,instrumentation,,4.2.3 Instrumentation / Loop Checks,2026-09-12,2026-09-22
L6-INS-508,Level gauge and switch installation,instrumentation,,4.2.4 Instrumentation / Installation,2026-09-10,2026-09-20
L6-INS-601,DCS/PLC control loop configuration,instrumentation,,4.3.1 Instrumentation / Control Systems,2026-09-20,2026-10-05
L6-INS-602,Instrument loop punch-listing and sign-off,instrumentation,,4.3.2 Instrumentation / Commissioning,2026-10-05,2026-10-12
L6-HSE-301,Safety briefing and toolbox talk,hse,,5.1.1 HSE / Site Safety,2026-07-01,2026-10-30
L6-HSE-302,Permit-to-work and scaffold inspection,hse,,5.1.2 HSE / Site Safety,2026-07-01,2026-10-30
L6-HSE-303,Hydrocracker unit safety walkdown,hse,,5.1.3 HSE / Site Safety,2026-08-01,2026-10-30
L6-HSE-401,Fire and gas detection system installation,hse,,5.2.1 HSE / Life Safety Systems,2026-09-10,2026-09-30
L6-HSE-402,Emergency shutdown system testing,hse,,5.2.2 HSE / Life Safety Systems,2026-10-05,2026-10-15
L6-COM-701,Pre-commissioning system walkdown,piping,,6.1.1 Commissioning / Mechanical,2026-10-10,2026-10-18
L6-COM-702,Loop testing and functional checks,instrumentation,,6.1.2 Commissioning / Instrumentation,2026-10-12,2026-10-20
L6-COM-801,Performance test run and handover,static_rotating,,6.2.1 Commissioning / Handover,2026-10-20,2026-10-30
